context_id,lga,region_group,target_period,target_value_raw,completion_or_progress_raw,source_url,notes,last_reviewed_at
HTC_20260406_BAYSIDE,Bayside,Greater Sydney,5-year target to 2029,"10,100 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/bayside-councils-snapshot,"Resident population 182,987; number of homes 74,140; average household size 2.5; urban tree canopy 12.3%; high heat vulnerability approx 8% of neighbourhoods; moderate heat vulnerability approx 85% of neighbourhoods",2026-04-06
HTC_20260406_BLACKTOWN,Blacktown,Greater Sydney,5-year target to 2029,"21,400 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/blacktown-councils-snapshot,"Resident population 426,202; number of homes 137,720; average household size 3.1; urban tree canopy 17.6%; high heat vulnerability approx 29% of neighbourhoods; moderate heat vulnerability approx 69% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_BURWOOD,Burwood,Greater Sydney,5-year target to 2029,"3,300 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/burwood-councils-snapshot,"Resident population 42,498; number of homes 16,830; average household size 2.5; urban tree canopy 14.6%; high heat vulnerability approx 0% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_CAMPBELLTOWN,Campbelltown,Greater Sydney,5-year target to 2029,"10,500 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/campbelltown-councils-snapshot,"Resident population 184,784; number of homes 63,980; average household size 2.9; urban tree canopy 18%; high heat vulnerability approx 19% of neighbourhoods; moderate heat vulnerability approx 75% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_CANADA_BAY,Canada Bay,Greater Sydney,5-year target to 2029,"5,000 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/canada-bay-councils-snapshot,"Resident population 91,385; number of homes 38,790; average household size 2.4; urban tree canopy 17.2%; high heat vulnerability approx 0% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_CANTERBURY_BANKSTOWN,Canterbury-Bankstown,Greater Sydney,5-year target to 2029,"14,500 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/canterbury-bankstown-councils-snapshot,"Resident population 379,829; number of homes 132,770; average household size 2.9; urban tree canopy 16.3%; high heat vulnerability approx 21% of neighbourhoods; moderate heat vulnerability approx 74% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_CUMBERLAND,Cumberland,Greater Sydney,5-year target to 2029,"12,200 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/cumberland-councils-snapshot,"Resident population 245,323; number of homes 84,290; average household size 2.9; urban tree canopy 13%; high heat vulnerability approx 31% of neighbourhoods; moderate heat vulnerability approx 68% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_FAIRFIELD,Fairfield,Greater Sydney,5-year target to 2029,"5,900 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/fairfield-councils-snapshot,"Resident population 209,742; number of homes 67,790; average household size 3.1; urban tree canopy 10.5%; high heat vulnerability approx 71% of neighbourhoods; moderate heat vulnerability approx 29% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_GEORGES_RIVER,Georges River,Greater Sydney,5-year target to 2029,"6,300 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/georges-river-councils-snapshot,"Resident population 158,051; number of homes 58,970; average household size 2.7; urban tree canopy 20.6%; high heat vulnerability approx 5% of neighbourhoods; moderate heat vulnerability approx 77% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_HORNSBY,Hornsby,Greater Sydney,5-year target to 2029,"5,500 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/hornsby-councils-snapshot,"Resident population 154,072; number of homes 56,370; average household size 2.7; urban tree canopy 42.5%; high heat vulnerability approx 0% of neighbourhoods; moderate heat vulnerability approx 25% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_HUNTERS_HILL,Hunters Hill,Greater Sydney,5-year target to 2029,400 new completed homes by 2029,,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/hunters-hill-councils-snapshot,"Resident population 14,036; number of homes 5,310; average household size 2.6; urban tree canopy 33.5%; high heat vulnerability approx 0% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_INNER_WEST,Inner West,Greater Sydney,5-year target to 2029,"7,800 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/inner-west-councils-snapshot,"Resident population 188,325; number of homes 84,290; average household size 2.2; urban tree canopy 18.6%; high heat vulnerability approx 0% of neighbourhoods; moderate heat vulnerability approx 77% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_KU_RING_GAI,Ku-ring-gai,Greater Sydney,5-year target to 2029,"7,600 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/ku-ring-gai-councils-snapshot,"Resident population 126,983; number of homes 45,920; average household size 2.8; urban tree canopy 43.8%; high heat vulnerability approx 0% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_LANE_COVE,Lane Cove,Greater Sydney,5-year target to 2029,"3,400 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/lane-cove-councils-snapshot,"Resident population 41,549; number of homes 16,820; average household size 2.5; urban tree canopy 37.7%; high heat vulnerability approx 0% of neighbourhoods; updated 2025-08-04",2026-04-06
HTC_20260406_LIVERPOOL,Liverpool,Greater Sydney,5-year target to 2029,"16,700 new completed homes by 2029",,https://www.planning.nsw.gov.au/policy-and-legislation/housing/housing-targets/liverpool-councils-snapshot,"Resident population 247,672; number of homes 79,770; average household size 3.1; urban tree canopy 14.5%; high heat vulnerability approx 32% of neighbourhoods; moderate heat vulnerability approx 63% of neighbourhoods; updated 2025-08-04",2026-04-06
